,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Reporting Interval
104636,2020-12-13,145939,WATERFRONT TERRACE,7750 SOUTH SHORE DRIVE,CHICAGO,IL,60649,Y,Y,0.0,15.0,0.0,48.0,,0.0,0.0,9.0,0.0,10.0,118.0,102.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,470.6,98.0,20.8,Cook,N,N,POINT (-87.552222 41.75586),Week 30 - Dec 13
104646,2020-12-13,145773,GOOD SAMARITAN HOME,2130 HARRISON STREET,QUINCY,IL,62301,Y,Y,0.0,0.0,0.0,9.0,,9.0,3.0,27.0,0.0,0.0,213.0,156.0,,,,,N,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,1.0,,4.0,54.0,0.0,30.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,57.7,0.0,0.0,Adams,N,N,POINT (-91.380324 39.913547),Week 30 - Dec 13
104648,2020-12-13,145630,ELEVATE CARE NORTH BRANCH,6840 WEST TOUHY AVENUE,NILES,IL,60714,Y,N,2.0,91.0,0.0,34.0,,167.0,0.0,29.0,0.0,7.0,165.0,121.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,1.0,24.0,0.0,24.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,281.0,57.9,20.6,Cook,N,N,POINT (-87.797062 42.012453),Week 30 - Dec 13
104686,2020-12-13,146026,LEWIS MEMORIAL CHRISTIAN VLG,3400 WEST WASHINGTON,SPRINGFIELD,IL,62702,Y,Y,1.0,1.0,3.0,78.0,,14.0,3.0,17.0,1.0,2.0,171.0,118.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,2.0,,2.0,83.0,0.0,18.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,25.4,8.5,661.0,16.9,2.6,Sangamon,Y,N,,Week 30 - Dec 13
104734,2020-12-13,145668,BRIA OF BELLEVILLE,150 NORTH 27TH STREET,BELLEVILLE,IL,62226,Y,Y,3.0,46.0,0.0,22.0,,0.0,2.0,37.0,0.0,10.0,,107.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,5.0,9.0,,2.0,34.0,0.0,4.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,205.6,93.5,45.5,St. Clair,N,N,POINT (-90.009532 38.525934),Week 30 - Dec 13
104736,2020-12-13,146065,ABBINGTON REHAB & NURSING CTR,31 WEST CENTRAL,ROSELLE,IL,60172,Y,Y,0.0,11.0,1.0,49.0,,0.0,0.0,3.0,0.0,7.0,82.0,56.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,2.0,,0.0,23.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,17.9,0.0,875.0,125.0,14.3,DuPage,N,N,POINT (-88.081628 41.983439000000004),Week 30 - Dec 13
104755,2020-12-13,146061,BROOKDALE PLAZA LISLE SNF,1800 ROBIN LANE,LISLE,IL,60532,Y,Y,0.0,3.0,0.0,14.0,,0.0,0.0,14.0,0.0,1.0,82.0,33.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,33.0,0.0,16.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,424.2,30.3,7.1,DuPage,N,N,POINT (-88.086683 41.788449),Week 30 - Dec 13
104756,2020-12-13,146040,WILLOW ROSE REHAB & HEALTH,410 FLETCHER,JERSEYVILLE,IL,62052,Y,Y,0.0,1.0,8.0,10.0,,0.0,1.0,8.0,0.0,0.0,98.0,42.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,37.0,,8.0,9.0,0.0,4.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,190.5,0.0,238.1,0.0,0.0,Jersey,Y,N,POINT (-90.32833 39.112415),Week 30 - Dec 13
104837,2020-12-13,145956,ASCENSION CASA SCALABRINI,480 NORTH WOLF ROAD,NORTHLAKE,IL,60164,Y,Y,2.0,23.0,7.0,123.0,,24.0,2.0,44.0,2.0,13.0,224.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,75.0,0.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,47.6,13.6,836.7,88.4,10.6,Cook,Y,N,POINT (-87.903641 41.917251),Week 30 - Dec 13
104853,2020-12-13,145841,PARKWAY MANOR,3116 WILLIAMSON COUNTY PARKWAY,MARION,IL,62959,Y,Y,1.0,8.0,0.0,55.0,,1.0,1.0,29.0,0.0,21.0,131.0,60.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,66.0,104.0,,0.0,52.0,0.0,0.0,0.0,0.0,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,916.7,350.0,38.2,Williamson,N,N,POINT (-88.982944 37.750143),Week 30 - Dec 13
104896,2020-12-13,145714,OAK PARK OASIS,625 NORTH HARLEM,OAK PARK,IL,60302,Y,Y,0.0,49.0,0.0,42.0,,45.0,0.0,20.0,0.0,11.0,204.0,107.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,78.0,88.0,,0.0,16.0,0.0,26.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,392.5,102.8,26.2,Cook,N,N,POINT (-87.805111 41.892696),Week 30 - Dec 13
104899,2020-12-13,145680,CENTENNIAL REHAB & HEALTHCARE,7300 34TH AVENUE,MOLINE,IL,61265,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock Island,,,POINT (-90.437932 41.478292),Week 30 - Dec 13
104926,2020-12-13,145892,SUNNY HILL NURSING HOME OF WILL COUNTY,421 DORIS AVENUE,JOLIET,IL,60433,Y,Y,2.0,31.0,10.0,72.0,,53.0,4.0,76.0,4.0,30.0,157.0,112.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,14.0,21.0,,10.0,70.0,0.0,110.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,89.3,35.7,642.9,267.9,41.7,Will,Y,N,POINT (-88.069277 41.506354),Week 30 - Dec 13
105056,2020-12-13,145721,VILLA HEALTH CARE EAST,100 MARIAN PARKWAY PO BOX 109,SHERMAN,IL,62684,Y,Y,2.0,20.0,0.0,61.0,,0.0,0.0,27.0,0.0,25.0,97.0,68.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2.0,169.0,,0.0,54.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,897.1,367.6,41.0,Sangamon,N,N,,Week 30 - Dec 13
105057,2020-12-13,145621,PAVILION OF WAUKEGAN,2217 WASHINGTON STREET,WAUKEGAN,IL,60085,Y,Y,6.0,6.0,16.0,43.0,,9.0,1.0,4.0,1.0,3.0,112.0,73.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,34.0,59.0,,7.0,29.0,0.0,8.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,,,,,219.2,13.7,589.0,41.1,7.0,Lake,Y,N,POINT (-87.861008 42.359521),Week 30 - Dec 13
105078,2020-12-13,146018,LITTLE VILLAGE NRSG & RHB CTR,2320 SOUTH LAWNDALE,CHICAGO,IL,60623,Y,Y,0.0,20.0,0.0,6.0,,0.0,0.0,5.0,0.0,4.0,106.0,89.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,26.0,0.0,0.0,0.0,1.0,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,67.4,44.9,66.7,Cook,N,N,POINT (-87.717344 41.849142),Week 30 - Dec 13
105092,2020-12-13,145890,ELDORADO REHAB & HEALTHCARE,1001 A JEFFERSON STREET,ELDORADO,IL,62930,Y,Y,0.0,2.0,0.0,26.0,,7.0,0.0,18.0,0.0,4.0,99.0,63.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,6.0,10.0,,0.0,20.0,0.0,32.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,412.7,63.5,15.4,Saline,N,N,POINT (-88.431921 37.809861),Week 30 - Dec 13
105127,2020-12-13,145767,PAUL HOUSE & HEALTH CR CTR,3800 NORTH CALIFORNIA AVENUE,CHICAGO,IL,60618,Y,Y,0.0,7.0,0.0,7.0,,0.0,1.0,9.0,0.0,5.0,171.0,92.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,15.0,,0.0,16.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,76.1,54.3,71.4,Cook,N,N,POINT (-87.698119 41.950372),Week 30 - Dec 13
105240,2020-12-13,146083,MANOR COURT OF PRINCETON,140 NORTH SIXTH STREET,PRINCETON,IL,61356,Y,Y,0.0,2.0,2.0,42.0,,35.0,1.0,19.0,1.0,12.0,125.0,62.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,21.0,71.0,,1.0,42.0,0.0,143.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,32.3,16.1,677.4,193.5,28.6,Bureau,N,N,POINT (-89.450575 41.377594),Week 30 - Dec 13
105243,2020-12-13,145846,CARE CENTER AT CENTER GROVE,6277 CENTER GROVE ROAD,EDWARDSVILLE,IL,62025,Y,Y,0.0,0.0,4.0,32.0,,0.0,0.0,26.0,0.0,0.0,116.0,102.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,0.0,52.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,39.2,0.0,313.7,0.0,0.0,Madison,Y,N,POINT (-89.97260300000002 38.787242),Week 30 - Dec 13
105285,2020-12-13,145663,ELMWOOD TERRACE HEALTHCARE CTR,1017 WEST GALENA BOULEVARD,AURORA,IL,60506,Y,Y,0.0,3.0,1.0,30.0,,2.0,0.0,8.0,0.0,7.0,68.0,36.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,2.0,16.0,0.0,4.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,27.8,0.0,833.3,194.4,23.3,Kane,N,N,POINT (-88.340752 41.762428),Week 30 - Dec 13
105329,2020-12-13,145918,APERION CARE BRIDGEPORT,900 EAST CORPORATION,BRIDGEPORT,IL,62417,Y,Y,0.0,6.0,0.0,66.0,,1.0,0.0,7.0,0.0,5.0,99.0,66.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,57.0,0.0,1.0,0.0,1.0,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,,,,,0.0,0.0,1000.0,75.8,7.6,Lawrence,N,N,,Week 30 - Dec 13
105371,2020-12-13,146062,CENTER HOME HISPANIC ELDERLY,1401 NORTH CALIFORNIA,CHICAGO,IL,60622,Y,Y,0.0,13.0,1.0,58.0,,0.0,0.0,6.0,0.0,14.0,156.0,95.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,92.0,84.0,,0.0,20.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,10.5,0.0,610.5,147.4,24.1,Cook,N,N,POINT (-87.696941 41.906607),Week 30 - Dec 13
105372,2020-12-13,145774,HAVANA HEALTH CARE CENTER,609 NORTH HARPHAM STREET,HAVANA,IL,62644,Y,Y,0.0,0.0,0.0,35.0,,0.0,3.0,20.0,3.0,9.0,98.0,42.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,16.0,0.0,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,71.4,833.3,214.3,25.7,Mason,N,N,POINT (-90.053183 40.306154),Week 30 - Dec 13
105447,2020-12-13,145736,ALDEN TOWN MANOR REHAB & HCC,6120 WEST OGDEN,CICERO,IL,60804,Y,Y,0.0,22.0,0.0,99.0,,5.0,0.0,29.0,0.0,24.0,249.0,133.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,2.0,46.0,0.0,17.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,744.4,180.5,24.2,Cook,N,N,POINT (-87.77634 41.832915),Week 30 - Dec 13
105492,2020-12-13,145880,HILLVIEW HEALTH CARE CENTER,512 NORTH 11TH STREET,VIENNA,IL,62995,Y,Y,0.0,0.0,0.0,23.0,,1.0,0.0,10.0,0.0,4.0,58.0,34.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,20.0,58.0,,1.0,14.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,676.5,117.6,17.4,Johnson,N,N,POINT (-88.90263200000001 37.419128),Week 30 - Dec 13
105499,2020-12-13,145719,GENERATIONS AT LINCOLN,2202 NORTH KICKAPOO STREET,LINCOLN,IL,62656,Y,Y,0.0,1.0,0.0,2.0,,9.0,0.0,12.0,0.0,0.0,126.0,95.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,10.0,0.0,4.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,18.0,12.0,Y,Y,0.0,0.0,21.1,0.0,0.0,Logan,N,N,POINT (-89.341493 40.1648),Week 30 - Dec 13
105506,2020-12-13,145998,ALDEN DES PLAINES REHAB & HC,1221 EAST GOLF ROAD,DES PLAINES,IL,60016,Y,Y,1.0,16.0,0.0,26.0,,33.0,0.0,8.0,0.0,3.0,110.0,68.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,26.0,0.0,7.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,13.0,1.0,Y,Y,0.0,0.0,382.4,44.1,11.5,Cook,N,N,POINT (-87.893989 42.054231),Week 30 - Dec 13
105525,2020-12-13,145834,"AUSTIN OASIS, THE",901 SOUTH AUSTIN BLVD,CHICAGO,IL,60644,Y,Y,0.0,38.0,0.0,52.0,,82.0,0.0,34.0,0.0,15.0,216.0,161.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2.0,6.0,,1.0,23.0,0.0,15.0,0.0,0.0,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,323.0,93.2,28.8,Cook,N,N,POINT (-87.774199 41.870135),Week 30 - Dec 13
105603,2020-12-13,145946,SYMPHONY AT ARIA,4600 NORTH FRONTAGE ROAD,HILLSIDE,IL,60162,Y,Y,0.0,16.0,1.0,12.0,,0.0,2.0,36.0,0.0,9.0,198.0,124.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,15.0,1.0,,4.0,39.0,0.0,3.0,0.0,2.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,8.1,0.0,96.8,72.6,75.0,Cook,N,N,,Week 30 - Dec 13
105665,2020-12-13,145987,SERENITY OF GALESBURG,1145 FRANK STREET,GALESBURG,IL,61401,Y,Y,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,104.0,85.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,10.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,82.4,0.0,0.0,Knox,N,N,POINT (-90.389366 40.959553),Week 30 - Dec 13
105668,2020-12-13,146023,"ARTHUR HOME, THE",423 EBERHARDT DRIVE,ARTHUR,IL,61911,N,,0.0,0.0,0.0,27.0,,0.0,0.0,10.0,0.0,2.0,53.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,710.5,52.6,7.4,Douglas,,,POINT (-88.477022 39.712274),Week 30 - Dec 13
105778,2020-12-13,145760,HERITAGE HEALTH-ROBINSON,600 EAST ROBINWOOD DRIVE,ROBINSON,IL,62454,Y,Y,0.0,0.0,16.0,17.0,,0.0,0.0,11.0,0.0,0.0,67.0,45.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,86.0,100.0,,5.0,12.0,0.0,2.0,0.0,0.0,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,,,,,355.6,0.0,377.8,0.0,0.0,Crawford,Y,N,POINT (-87.732534 39.01542500000001),Week 30 - Dec 13
105808,2020-12-13,145628,EVERGREEN NURSING & REHAB CENTER,1115 NORTH WENTHE,EFFINGHAM,IL,62401,Y,Y,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,0.0,0.0,120.0,53.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,53.0,48.0,,0.0,5.0,0.0,2.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,37.7,0.0,0.0,Effingham,N,N,POINT (-88.55728 39.137242),Week 30 - Dec 13
105814,2020-12-13,145792,WOODBRIDGE NURSING PAVILION,2242 NORTH KEDZIE,CHICAGO,IL,60647,Y,Y,0.0,31.0,0.0,129.0,,104.0,2.0,53.0,0.0,36.0,222.0,161.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2.0,2.0,,0.0,70.0,0.0,50.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,801.2,223.6,27.9,Cook,N,N,POINT (-87.707474 41.922325),Week 30 - Dec 13
105830,2020-12-13,145655,INTEGRITY HC OF WOOD RIVER,393 EDWARDSVILLE ROAD,WOOD RIVER,IL,62095,N,,0.0,4.0,0.0,9.0,,0.0,0.0,3.0,0.0,1.0,106.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,97.8,10.9,11.1,Madison,,,,Week 30 - Dec 13
105831,2020-12-13,145921,HITZ MEMORIAL HOME,"201 BELLE STREET,  P O BOX 79",ALHAMBRA,IL,62001,Y,Y,0.0,0.0,0.0,31.0,,0.0,0.0,7.0,0.0,6.0,59.0,36.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,861.1,166.7,19.4,Madison,N,N,POINT (-90.187536 38.891193),Week 30 - Dec 13
105835,2020-12-13,145712,WILLOW CREST NURSING PAVILION,515 NORTH MAIN,SANDWICH,IL,60548,Y,Y,0.0,5.0,0.0,33.0,,21.0,0.0,4.0,0.0,3.0,106.0,87.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,21.0,0.0,9.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,379.3,34.5,9.1,DeKalb,N,N,POINT (-88.62183 41.65054),Week 30 - Dec 13
105848,2020-12-13,146034,SYMPHONY AT THE TILLERS,4390 ROUTE 71,OSWEGO,IL,60543,Y,Y,0.0,12.0,0.0,52.0,,39.0,1.0,29.0,0.0,8.0,96.0,51.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,2.0,,0.0,37.0,0.0,47.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,1019.6,156.9,15.4,Kendall,N,N,POINT (-88.345982 41.679122),Week 30 - Dec 13
105863,2020-12-13,145684,MANORCARE OF HOMEWOOD,940 MAPLE AVENUE,HOMEWOOD,IL,60430,Y,Y,1.0,30.0,8.0,65.0,,3.0,1.0,49.0,0.0,21.0,132.0,86.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,78.0,97.0,,7.0,33.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,93.0,0.0,755.8,244.2,32.3,Cook,Y,N,POINT (-87.640876 41.567497),Week 30 - Dec 13
105874,2020-12-13,146054,GALLATIN MANOR,900 WEST RACE STREET,RIDGWAY,IL,62979,Y,Y,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,71.0,43.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,0.0,0.0,,Gallatin,N,N,POINT (-88.269689 37.79377),Week 30 - Dec 13
105907,2020-12-13,146013,BERKELEY NURSING & REHAB CENTER,6909 WEST NORTH AVENUE,OAK PARK,IL,60302,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook,,,POINT (-87.79902 41.90894),Week 30 - Dec 13
105980,2020-12-13,145995,SYMPHONY AT MIDWAY,4437 SOUTH CICERO,CHICAGO,IL,60632,Y,Y,0.0,43.0,0.0,9.0,,4.0,0.0,38.0,0.0,0.0,249.0,195.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,47.0,0.0,5.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,46.2,0.0,0.0,Cook,N,N,POINT (-87.743158 41.811916),Week 30 - Dec 13
106000,2020-12-13,145813,METROPOLIS REHAB & HCC,2299 METROPOLIS STREET,METROPOLIS,IL,62960,Y,Y,0.0,0.0,0.0,1.0,,1.0,0.0,5.0,0.0,0.0,101.0,59.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,9.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,16.9,0.0,0.0,Massac,N,N,POINT (-88.724676 37.16842),Week 30 - Dec 13
